index,type,q0,q1,q2,q3
90,mixed,0.3090169944,-0.8090169944,0.0000000000,0.5000000000
91,mixed,0.3090169944,-0.8090169944,0.0000000000,-0.5000000000
92,mixed,-0.3090169944,0.8090169944,0.0000000000,0.5000000000
93,mixed,-0.3090169944,0.8090169944,0.0000000000,-0.5000000000
94,mixed,-0.3090169944,-0.8090169944,0.0000000000,0.5000000000
95,mixed,-0.3090169944,-0.8090169944,0.0000000000,-0.5000000000
96,mixed,0.8090169944,0.0000000000,0.3090169944,0.5000000000
97,mixed,0.8090169944,0.0000000000,0.3090169944,-0.5000000000
98,mixed,0.8090169944,0.0000000000,-0.3090169944,0.5000000000
99,mixed,0.8090169944,0.0000000000,-0.3090169944,-0.5000000000
100,mixed,-0.8090169944,0.0000000000,0.3090169944,0.5000000000
101,mixed,-0.8090169944,0.0000000000,0.3090169944,-0.5000000000
102,mixed,-0.8090169944,0.0000000000,-0.3090169944,0.5000000000
103,mixed,-0.8090169944,0.0000000000,-0.3090169944,-0.5000000000
104,mixed,0.8090169944,0.5000000000,0.0000000000,0.3090169944
105,mixed,0.8090169944,0.5000000000,0.0000000000,-0.3090169944
106,mixed,0.8090169944,-0.5000000000,0.0000000000,0.3090169944
107,mixed,0.8090169944,-0.5000000000,0.0000000000,-0.3090169944
108,mixed,-0.8090169944,0.5000000000,0.0000000000,0.3090169944
109,mixed,-0.8090169944,0.5000000000,0.0000000000,-0.3090169944
110,mixed,-0.8090169944,-0.5000000000,0.0000000000,0.3090169944
111,mixed,-0.8090169944,-0.5000000000,0.0000000000,-0.3090169944
112,mixed,0.8090169944,0.3090169944,0.5000000000,0.0000000000
113,mixed,0.8090169944,0.3090169944,-0.5000000000,0.0000000000
114,mixed,0.8090169944,-0.3090169944,0.5000000000,0.0000000000
115,mixed,0.8090169944,-0.3090169944,-0.5000000000,0.0000000000
116,mixed,-0.8090169944,0.3090169944,0.5000000000,0.0000000000
117,mixed,-0.8090169944,0.3090169944,-0.5000000000,0.0000000000
118,mixed,-0.8090169944,-0.3090169944,0.5000000000,0.0000000000
119,mixed,-0.8090169944,-0.3090169944,-0.5000000000,0.0000000000
