state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells
S00126,"2,3,4",3,baryon,closure_corrected,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","3.40344419,5.50688837,8.91033256",3
S00127,"2,3,4",3,baryon,closure_corrected,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","3.40344419,5.50688837,8.91033256",3
S00128,"2,3,4",3,baryon,closure_corrected,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","3.40344419,5.50688837,8.91033256",3
S00129,"2,3,4",3,baryon,closure_corrected,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","3.40344419,5.50688837,8.91033256",3
S00130,"2,3,4",3,baryon,closure_corrected,phi_decaying,torsional_offset,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","3.40344419,5.50688837,8.91033256",3
S00131,"2,3,4",3,baryon,closure_corrected,phi_decaying,winding_parity,"0.80901699,0.50000000,0.30901699","0.00000000,0.52359878,0.00000000","3.40344419,5.50688837,8.91033256",3
S00132,"2,3,4",3,baryon,closure_corrected,closure_weight,exact_closure,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","3.40344419,5.50688837,8.91033256",3
S00133,"2,3,4",3,baryon,closure_corrected,closure_weight,torsional_offset,"0.91050775,0.37514982,0.17389151","0.00000000,0.00000000,0.00000000","3.40344419,5.50688837,8.91033256",3
S00134,"2,3,4",3,baryon,closure_corrected,closure_weight,winding_parity,"0.91050775,0.37514982,0.17389151","0.00000000,0.52359878,0.00000000","3.40344419,5.50688837,8.91033256",3
S00135,"2,3,4,5",1,baryon,linear,uniform,exact_closure,"0.25000000,0.25000000,0.25000000,0.25000000","0.00000000,0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000,5.00000000",4
S00136,"2,3,4,5",1,baryon,linear,uniform,torsional_offset,"0.25000000,0.25000000,0.25000000,0.25000000","0.00000000,0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000,5.00000000",4
S00137,"2,3,4,5",1,baryon,linear,uniform,winding_parity,"0.25000000,0.25000000,0.25000000,0.25000000","0.00000000,0.52359878,0.00000000,0.52359878","2.00000000,3.00000000,4.00000000,5.00000000",4
S00138,"2,3,4,5",1,baryon,linear,phi_decaying,exact_closure,"0.79465447,0.49112347,0.30353100,0.18759247","0.00000000,0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000,5.00000000",4
S00139,"2,3,4,5",1,baryon,linear,phi_decaying,torsional_offset,"0.79465447,0.49112347,0.30353100,0.18759247","0.00000000,0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000,5.00000000",4
S00140,"2,3,4,5",1,baryon,linear,phi_decaying,winding_parity,"0.79465447,0.49112347,0.30353100,0.18759247","0.00000000,0.52359878,0.00000000,0.52359878","2.00000000,3.00000000,4.00000000,5.00000000",4
