state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells,energy_law,energy,closure_defect,spectral_variance,torsion_penalty,boundary_penalty,stability_score
S00054,"2,3,4",1,baryon,linear,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,phi_growing_2,2.838398551204e+01,0.000000000000e+00,9.433722727066e+00,0.000000000000e+00,0.000000000000e+00,4.716861363533e+00
S00055,"2,3,4",1,baryon,linear,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,structural_k,2.325021112069e+04,0.000000000000e+00,9.433722727066e+00,0.000000000000e+00,0.000000000000e+00,4.716861363533e+00
S00055,"2,3,4",1,baryon,linear,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,optimal_k,2.876349129916e+04,0.000000000000e+00,9.433722727066e+00,0.000000000000e+00,0.000000000000e+00,4.716861363533e+00
S00055,"2,3,4",1,baryon,linear,uniform,torsional_offset,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,phi_growing_2,2.838398551204e+01,0.000000000000e+00,9.433722727066e+00,0.000000000000e+00,0.000000000000e+00,4.716861363533e+00
S00056,"2,3,4",1,baryon,linear,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3,structural_k,2.325021112069e+04,1.659144073123e-03,9.433722727066e+00,1.674682480205e-02,0.000000000000e+00,4.723544555047e+00
S00056,"2,3,4",1,baryon,linear,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3,optimal_k,2.876349129916e+04,1.659144073123e-03,9.433722727066e+00,1.674682480205e-02,0.000000000000e+00,4.723544555047e+00
S00056,"2,3,4",1,baryon,linear,uniform,winding_parity,"0.33333333,0.33333333,0.33333333","0.00000000,0.52359878,0.00000000","2.00000000,3.00000000,4.00000000",3,phi_growing_2,2.838398551204e+01,1.659144073123e-03,9.433722727066e+00,1.674682480205e-02,0.000000000000e+00,4.723544555047e+00
S00057,"2,3,4",1,baryon,linear,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,structural_k,2.177406305651e+04,0.000000000000e+00,2.990711847980e+00,1.232595164408e-32,0.000000000000e+00,1.495355923990e+00
S00057,"2,3,4",1,baryon,linear,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,optimal_k,2.681136641726e+04,0.000000000000e+00,2.990711847980e+00,1.232595164408e-32,0.000000000000e+00,1.495355923990e+00
S00057,"2,3,4",1,baryon,linear,phi_decaying,exact_closure,"0.80901699,0.50000000,0.30901699","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,phi_growing_2,4.037461119236e+01,0.000000000000e+00,2.990711847980e+00,1.232595164408e-32,0.000000000000e+00,1.495355923990e+00
