Re,Im,abs_L_sub
0.7475,-38.7500,1.152074e+02
0.7700,-38.7500,9.775374e+01
0.7925,-38.7500,8.319922e+01
0.8150,-38.7500,7.102552e+01
0.8375,-38.7500,6.081302e+01
0.8600,-38.7500,5.222096e+01
0.8825,-38.7500,4.497180e+01
0.9050,-38.7500,3.883882e+01
0.9275,-38.7500,3.363628e+01
0.9500,-38.7500,2.921155e+01
0.0500,-37.5000,3.310150e+04
0.0725,-37.5000,2.449384e+04
0.0950,-37.5000,1.809044e+04
0.1175,-37.5000,1.333317e+04
0.1400,-37.5000,9.804010e+03
0.1625,-37.5000,7.190147e+03
0.1850,-37.5000,5.257658e+03
0.2075,-37.5000,3.831778e+03
0.2300,-37.5000,2.782060e+03
0.2525,-37.5000,2.011240e+03
0.2750,-37.5000,1.446879e+03
0.2975,-37.5000,1.035092e+03
0.3200,-37.5000,7.358570e+02
0.3425,-37.5000,5.194948e+02
0.3650,-37.5000,3.640432e+02
0.3875,-37.5000,2.532912e+02
0.4100,-37.5000,1.753119e+02
0.4325,-37.5000,1.213602e+02
0.4550,-37.5000,8.502158e+01
0.4775,-37.5000,6.150702e+01
0.5000,-37.5000,4.704194e+01
0.5225,-37.5000,3.846995e+01
0.5450,-37.5000,3.325842e+01
0.5675,-37.5000,2.968813e+01
0.5900,-37.5000,2.681597e+01
0.6125,-37.5000,2.422189e+01
0.6350,-37.5000,2.176065e+01
0.6575,-37.5000,1.940713e+01
0.6800,-37.5000,1.717839e+01
0.7025,-37.5000,1.509934e+01
0.7250,-37.5000,1.318972e+01
0.7475,-37.5000,1.146052e+01
0.7700,-37.5000,9.914358e+00
0.7925,-37.5000,8.547108e+00
0.8150,-37.5000,7.349819e+00
0.8375,-37.5000,6.310380e+00
0.8600,-37.5000,5.414860e+00
0.8825,-37.5000,4.648523e+00
0.9050,-37.5000,3.996545e+00
0.9275,-37.5000,3.444514e+00
0.9500,-37.5000,2.978771e+00
0.0500,-36.2500,5.995355e+04
0.0725,-36.2500,4.688646e+04
0.0950,-36.2500,3.669883e+04
0.1175,-36.2500,2.875247e+04
0.1400,-36.2500,2.255117e+04
0.1625,-36.2500,1.770904e+04
0.1850,-36.2500,1.392587e+04
0.2075,-36.2500,1.096807e+04
0.2300,-36.2500,8.653819e+03
0.2525,-36.2500,6.841554e+03
0.2750,-36.2500,5.421024e+03
0.2975,-36.2500,4.306331e+03
0.3200,-36.2500,3.430531e+03
0.3425,-36.2500,2.741434e+03
0.3650,-36.2500,2.198335e+03
0.3875,-36.2500,1.769479e+03
0.4100,-36.2500,1.430085e+03
0.4325,-36.2500,1.160807e+03
0.4550,-36.2500,9.465401e+02
0.4775,-36.2500,7.754856e+02
0.5000,-36.2500,6.384275e+02
0.5225,-36.2500,5.281648e+02
0.5450,-36.2500,4.390689e+02
0.5675,-36.2500,3.667390e+02
0.5900,-36.2500,3.077313e+02
0.6125,-36.2500,2.593483e+02
0.6350,-36.2500,2.194741e+02
0.6575,-36.2500,1.864455e+02
0.6800,-36.2500,1.589516e+02
0.7025,-36.2500,1.359559e+02
0.7250,-36.2500,1.166357e+02
0.7475,-36.2500,1.003349e+02
0.7700,-36.2500,8.652789e+01
0.7925,-36.2500,7.479107e+01
0.8150,-36.2500,6.478140e+01
0.8375,-36.2500,5.621935e+01
0.8600,-36.2500,4.887592e+01
0.8825,-36.2500,4.256240e+01
0.9050,-36.2500,3.712249e+01
0.9275,-36.2500,3.242610e+01
0.9500,-36.2500,2.836440e+01
0.0500,-35.0000,3.207720e+04
0.0725,-35.0000,2.452287e+04
0.0950,-35.0000,1.874037e+04
0.1175,-35.0000,1.431653e+04
0.1400,-35.0000,1.093398e+04
0.1625,-35.0000,8.349099e+03
0.1850,-35.0000,6.374916e+03
0.2075,-35.0000,4.868025e+03
0.2300,-35.0000,3.718480e+03
0.2525,-35.0000,2.842027e+03
0.2750,-35.0000,2.174138e+03
0.2975,-35.0000,1.665414e+03
0.3200,-35.0000,1.278061e+03
0.3425,-35.0000,9.831764e+02
0.3650,-35.0000,7.586750e+02
0.3875,-35.0000,5.876883e+02
0.4100,-35.0000,4.573442e+02
0.4325,-35.0000,3.578292e+02
0.4550,-35.0000,2.816716e+02
0.4775,-35.0000,2.231928e+02
0.5000,-35.0000,1.780866e+02
0.5225,-35.0000,1.430974e+02
0.5450,-35.0000,1.157717e+02
0.5675,-35.0000,9.426685e+01
0.5900,-35.0000,7.720332e+01
0.6125,-35.0000,6.354995e+01
0.6350,-35.0000,5.253623e+01
0.6575,-35.0000,4.358509e+01
0.6800,-35.0000,3.626229e+01
0.7025,-35.0000,3.023864e+01
0.7250,-35.0000,2.526215e+01
0.7475,-35.0000,2.113768e+01
0.7700,-35.0000,1.771222e+01
0.7925,-35.0000,1.486425e+01
0.8150,-35.0000,1.249596e+01
0.8375,-35.0000,1.052775e+01
0.8600,-35.0000,8.894046e+00
0.8825,-35.0000,7.540337e+00
0.9050,-35.0000,6.420868e+00
0.9275,-35.0000,5.496944e+00
0.9500,-35.0000,4.735630e+00
0.0500,-33.7500,5.207408e+04
0.0725,-33.7500,4.077628e+04
0.0950,-33.7500,3.198110e+04
0.1175,-33.7500,2.512575e+04
0.1400,-33.7500,1.977540e+04
0.1625,-33.7500,1.559387e+04
0.1850,-33.7500,1.232105e+04
0.2075,-33.7500,9.755501e+03
0.2300,-33.7500,7.741105e+03
0.2525,-33.7500,6.156740e+03
0.2750,-33.7500,4.908354e+03
0.2975,-33.7500,3.922834e+03
0.3200,-33.7500,3.143283e+03
0.3425,-33.7500,2.525374e+03
0.3650,-33.7500,2.034528e+03
0.3875,-33.7500,1.643737e+03
0.4100,-33.7500,1.331876e+03
0.4325,-33.7500,1.082398e+03
0.4550,-33.7500,8.823254e+02
0.4775,-33.7500,7.214584e+02
0.5000,-33.7500,5.917714e+02
0.5225,-33.7500,4.869365e+02
0.5450,-33.7500,4.019558e+02
0.5675,-33.7500,3.328742e+02
0.5900,-33.7500,2.765559e+02
0.6125,-33.7500,2.305091e+02
0.6350,-33.7500,1.927500e+02
0.6575,-33.7500,1.616952e+02
0.6800,-33.7500,1.360787e+02
0.7025,-33.7500,1.148852e+02
0.7250,-33.7500,9.729917e+01
0.7475,-33.7500,8.266337e+01
0.7700,-33.7500,7.044715e+01
0.7925,-33.7500,6.022087e+01
0.8150,-33.7500,5.163576e+01
0.8375,-33.7500,4.440798e+01
0.8600,-33.7500,3.830592e+01
0.8825,-33.7500,3.314008e+01
0.9050,-33.7500,2.875503e+01
0.9275,-33.7500,2.502288e+01
0.9500,-33.7500,2.183819e+01
0.0500,-32.5000,5.529971e+04
0.0725,-32.5000,4.325089e+04
0.0950,-32.5000,3.385135e+04
0.1175,-32.5000,2.651749e+04
0.1400,-32.5000,2.079410e+04
0.1625,-32.5000,1.632616e+04
0.1850,-32.5000,1.283684e+04
0.2075,-32.5000,1.011037e+04
0.2300,-32.5000,7.978560e+03
0.2525,-32.5000,6.310347e+03
0.2750,-32.5000,5.003622e+03
0.2975,-32.5000,3.978837e+03
0.3200,-32.5000,3.174026e+03
0.3425,-32.5000,2.540923e+03
0.3650,-32.5000,2.041933e+03
0.3875,-32.5000,1.647773e+03
0.4100,-32.5000,1.335626e+03
0.4325,-32.5000,1.087718e+03
0.4550,-32.5000,8.901924e+02
0.4775,-32.5000,7.322460e+02
0.5000,-32.5000,6.054507e+02
0.5225,-32.5000,5.032271e+02
0.5450,-32.5000,4.204349e+02
0.5675,-32.5000,3.530535e+02
0.5900,-32.5000,2.979345e+02
0.6125,-32.5000,2.526085e+02
0.6350,-32.5000,2.151352e+02
0.6575,-32.5000,1.839865e+02
0.6800,-32.5000,1.579561e+02
0.7025,-32.5000,1.360888e+02
0.7250,-32.5000,1.176259e+02
0.7475,-32.5000,1.019620e+02
0.7700,-32.5000,8.861256e+01
0.7925,-32.5000,7.718771e+01
0.8150,-32.5000,6.737221e+01
